title,description,category,text
Мужская куртка,Дополнительные фотографии отправлю по запросу. Возможен торг.,Одежда,Мужская куртка. Дополнительные фотографии отправлю по запросу. Возможен торг.
Компьютер для работы,"Полностью исправен, использовался аккуратно, все функции работают. Срочная продажа.",Электроника,"Компьютер для работы. Полностью исправен, использовался аккуратно, все функции работают. Срочная продажа."
Гараж,"Квартира светлая, после ремонта. Самовывоз.",Недвижимость,"Гараж. Квартира светлая, после ремонта. Самовывоз."
Дизайн интерьера,Примеры выполненных работ отправлю по запросу. Срочная продажа.,Услуги,Дизайн интерьера. Примеры выполненных работ отправлю по запросу. Срочная продажа.
Ноутбук ASUS,"Использовался дома, хранился бережно. Доставка обсуждается отдельно.",Электроника,"Ноутбук ASUS. Использовался дома, хранился бережно. Доставка обсуждается отдельно."
Таунхаус,"Рядом школа, детский сад и магазины. Пишите в сообщения.",Недвижимость,"Таунхаус. Рядом школа, детский сад и магазины. Пишите в сообщения."
Беспроводные наушники,Продаю в связи с покупкой новой модели. Доставка обсуждается отдельно.,Электроника,Беспроводные наушники. Продаю в связи с покупкой новой модели. Доставка обсуждается отдельно.
Фотоаппарат Canon,Продаю в связи с покупкой новой модели. Пишите в сообщения.,Электроника,Фотоаппарат Canon. Продаю в связи с покупкой новой модели. Пишите в сообщения.
Однокомнатная квартира,Подойдет для проживания семьи. Можно посмотреть перед покупкой.,Недвижимость,Однокомнатная квартира. Подойдет для проживания семьи. Можно посмотреть перед покупкой.
Volkswagen Polo,Подойдет для города и дальних поездок. Есть дополнительные фотографии.,Автомобили,Volkswagen Polo. Подойдет для города и дальних поездок. Есть дополнительные фотографии.
Шкаф купе,Можно забрать самостоятельно. Реальные фотографии.,Мебель,Шкаф купе. Можно забрать самостоятельно. Реальные фотографии.
Репетитор по английскому,"Работаю с частными клиентами, стоимость обсуждается заранее. Возможен торг.",Услуги,"Репетитор по английскому. Работаю с частными клиентами, стоимость обсуждается заранее. Возможен торг."
Женские кеды,Дополнительные фотографии отправлю по запросу. Пишите в сообщения.,Одежда,Женские кеды. Дополнительные фотографии отправлю по запросу. Пишите в сообщения.
Репетитор по математике,Принимаю заказы онлайн и в городе. Доставка обсуждается отдельно.,Услуги,Репетитор по математике. Принимаю заказы онлайн и в городе. Доставка обсуждается отдельно.
Стеллаж,Удобный вариант для небольшой комнаты. Цена обсуждается.,Мебель,Стеллаж. Удобный вариант для небольшой комнаты. Цена обсуждается.
Ford Focus,"Пробег подтвержден, документы в порядке. Возможен торг.",Автомобили,"Ford Focus. Пробег подтвержден, документы в порядке. Возможен торг."
Детская куртка,"Материал качественный, выглядит аккуратно. Самовывоз.",Одежда,"Детская куртка. Материал качественный, выглядит аккуратно. Самовывоз."
Монтаж видео,"Большой опыт, возможен выезд к заказчику. Доставка обсуждается отдельно.",Услуги,"Монтаж видео. Большой опыт, возможен выезд к заказчику. Доставка обсуждается отдельно."
Kia Rio,"Салон аккуратный, без посторонних запахов. Возможен торг.",Автомобили,"Kia Rio. Салон аккуратный, без посторонних запахов. Возможен торг."
Уборка квартир,"Большой опыт, возможен выезд к заказчику. Цена обсуждается.",Услуги,"Уборка квартир. Большой опыт, возможен выезд к заказчику. Цена обсуждается."
Nissan Qashqai,Подойдет для города и дальних поездок. Пишите в сообщения.,Автомобили,Nissan Qashqai. Подойдет для города и дальних поездок. Пишите в сообщения.
Джинсы Levi's,Дополнительные фотографии отправлю по запросу. Самовывоз.,Одежда,Джинсы Levi's. Дополнительные фотографии отправлю по запросу. Самовывоз.
Настройка рекламы,Предварительно обсуждаем требования и результат. Срочная продажа.,Услуги,Настройка рекламы. Предварительно обсуждаем требования и результат. Срочная продажа.
Компьютер для работы,Продаю в связи с покупкой новой модели. Пишите в сообщения.,Электроника,Компьютер для работы. Продаю в связи с покупкой новой модели. Пишите в сообщения.
Таунхаус,Тихий район с удобным подъездом. Пишите в сообщения.,Недвижимость,Таунхаус. Тихий район с удобным подъездом. Пишите в сообщения.
Детская куртка,"Хранилось аккуратно, внешний вид сохранен. Можно посмотреть перед покупкой.",Одежда,"Детская куртка. Хранилось аккуратно, внешний вид сохранен. Можно посмотреть перед покупкой."
Renault Logan,Готов к проверке на любом сервисе. Доставка обсуждается отдельно.,Автомобили,Renault Logan. Готов к проверке на любом сервисе. Доставка обсуждается отдельно.
Перевод текстов,"Большой опыт, возможен выезд к заказчику. Подробности расскажу по телефону.",Услуги,"Перевод текстов. Большой опыт, возможен выезд к заказчику. Подробности расскажу по телефону."
Планшет Samsung,Можно проверить при встрече перед покупкой. Цена обсуждается.,Электроника,Планшет Samsung. Можно проверить при встрече перед покупкой. Цена обсуждается.
